partido_id,set_num,set_num_norm,strength_h,strength_a,strength_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2025/2026_Bresc_Pinet_4Round,5,1.0,0.566,0.4324,0.13359999999999994,0.5237,0.4474,0.07630000000000003,0.5333,0.4,0.13329999999999997,3.7813,2.6098,0.0,5,3,2,1.0,1,0
2025/2026_Bresc_Porto_13Round,1,0.0,0.5645,0.5283,0.03620000000000001,0.5294,0.5433,-0.013900000000000023,0.4667,0.5333,-0.06659999999999999,3.8342,5.1517,0.0,0,0,0,0.5,0,1
2025/2026_Bresc_Porto_13Round,1,0.0,0.5645,0.5283,0.03620000000000001,0.5294,0.5433,-0.013900000000000023,0.4667,0.5333,-0.06659999999999999,3.8342,5.1517,0.0,1,0,1,1.0,0,0
2025/2026_Bresc_Porto_13Round,2,0.25,0.5645,0.5283,0.03620000000000001,0.5294,0.5433,-0.013900000000000023,0.4667,0.5333,-0.06659999999999999,3.8342,5.1517,0.0,1,1,0,0.0,0,1
2025/2026_Bresc_Porto_13Round,2,0.25,0.5645,0.5283,0.03620000000000001,0.5294,0.5433,-0.013900000000000023,0.4667,0.5333,-0.06659999999999999,3.8342,5.1517,0.0,2,1,1,1.0,0,0
2025/2026_Bresc_Porto_13Round,3,0.5,0.5645,0.5283,0.03620000000000001,0.5294,0.5433,-0.013900000000000023,0.4667,0.5333,-0.06659999999999999,3.8342,5.1517,0.0,2,2,0,0.0,0,1
2025/2026_Bresc_Porto_13Round,3,0.5,0.5645,0.5283,0.03620000000000001,0.5294,0.5433,-0.013900000000000023,0.4667,0.5333,-0.06659999999999999,3.8342,5.1517,0.0,3,2,1,1.0,0,0
2025/2026_Bresc_Prata_10Round,1,0.0,0.5763,0.36,0.21630000000000005,0.5308,0.4417,0.08910000000000007,0.5333,0.4667,0.06659999999999999,4.7012,3.5473,0.0,0,0,0,0.5,0,0
2025/2026_Bresc_Prata_10Round,1,0.0,0.5763,0.36,0.21630000000000005,0.5308,0.4417,0.08910000000000007,0.5333,0.4667,0.06659999999999999,4.7012,3.5473,0.0,0,1,-1,0.0,0,1
2025/2026_Bresc_Prata_10Round,2,0.25,0.5763,0.36,0.21630000000000005,0.5308,0.4417,0.08910000000000007,0.5333,0.4667,0.06659999999999999,4.7012,3.5473,0.0,1,1,0,1.0,0,1
2025/2026_Bresc_Prata_10Round,2,0.25,0.5763,0.36,0.21630000000000005,0.5308,0.4417,0.08910000000000007,0.5333,0.4667,0.06659999999999999,4.7012,3.5473,0.0,2,1,1,1.0,0,1
2025/2026_Bresc_Prata_10Round,3,0.5,0.5763,0.36,0.21630000000000005,0.5308,0.4417,0.08910000000000007,0.5333,0.4667,0.06659999999999999,4.7012,3.5473,0.0,3,1,2,1.0,0,1
2025/2026_Bresc_Prata_10Round,3,0.5,0.5763,0.36,0.21630000000000005,0.5308,0.4417,0.08910000000000007,0.5333,0.4667,0.06659999999999999,4.7012,3.5473,0.0,4,1,3,1.0,0,0
2025/2026_Bresc_Prata_10Round,4,0.75,0.5763,0.36,0.21630000000000005,0.5308,0.4417,0.08910000000000007,0.5333,0.4667,0.06659999999999999,4.7012,3.5473,0.0,4,2,2,0.0,0,1
