partido_id,temporada,jornada_num,local,visitante,h_win_rate_global,h_win_rate_last5,h_win_rate_home,h_win_rate_away,h_pts_fav_exp,h_pts_con_exp,h_set_win_rate,h_set_diff_exp,h_forma_home,h_forma_away,h_ultimo_set_diff,h_racha,h_n_partidos_hist,h_h2h_set_diff_exp,h_h2h_win_rate,a_win_rate_global,a_win_rate_last5,a_win_rate_home,a_win_rate_away,a_pts_fav_exp,a_pts_con_exp,a_set_win_rate,a_set_diff_exp,a_forma_home,a_forma_away,a_ultimo_set_diff,a_racha,a_n_partidos_hist,a_h2h_set_diff_exp,a_h2h_win_rate,diff_win_rate_global,diff_win_rate_last5,diff_set_win_rate,diff_set_diff_exp,diff_pts_fav_exp,diff_pts_con_exp,diff_racha,diff_ultimo_set_diff,diff_rank_season,diff_forma_efectiva,h_descanso,a_descanso,diff_descanso,h_rank_season,a_rank_season,gana_local
2024/2025_Cantù_Macer_7Round,2024/2025,7.0,Cantù,Macerata,0.5349,0.4667,0.4091,0.6129,3.5354,3.7843,0.4782,-0.249,0.4667,0.5333,0,-1,33,0.0,0.5,0.5926,0.5333,0.6364,0.4667,3.6399,3.7758,0.5315,-0.1359,0.6,0.4667,-1,-2,17,0.0,0.5,-0.057699999999999974,-0.06659999999999999,-0.05329999999999996,-0.1131,-0.10449999999999982,0.008500000000000174,1,1,-7,0.0,1.0,2.0,-1.0,19,12,1
2024/2025_Ciste_Moden_7Round,2024/2025,7.0,Cisterna,Modena,0.52,0.4,0.52,0.5,3.7692,3.5927,0.5504,0.1765,0.4,0.5,1,1,15,-1.216,0.3889,0.4675,0.4,0.4754,0.4615,2.991,4.2215,0.5009,-1.2305,0.4,0.5333,-4,-1,67,0.89,0.6111,0.05249999999999999,0.0,0.04949999999999999,1.407,0.7782,-0.6288,2,5,0,-0.13329999999999997,1.0,1.0,0.0,12,12,0
2024/2025_Delta_Emma _7Round,2024/2025,7.0,Porto Viro,Siena,0.4722,0.5333,0.4667,0.5,3.8417,3.6211,0.5273,0.2206,0.4667,0.4667,-1,-2,26,0.0,0.5,0.4615,0.5333,0.4,0.5789,3.8593,3.6175,0.4766,0.2419,0.6,0.4667,1,1,29,0.0,0.5,0.010699999999999987,0.0,0.05069999999999997,-0.021300000000000013,-0.017600000000000282,0.0036000000000000476,-3,-2,0,0.0,1.0,2.0,-1.0,3,3,1
2024/2025_Evolu_Raven_7Round,2024/2025,7.0,Aversa,Ravenna,0.6129,0.5333,0.4615,0.6429,4.0551,3.6984,0.5248,0.3566,0.4615,0.5333,1,2,21,0.0,0.5,0.5357,0.6,0.4706,0.5714,4.2393,3.3361,0.5388,0.9032,0.5333,0.5333,4,1,18,0.0,0.5,0.07720000000000005,-0.06669999999999998,-0.013999999999999901,-0.5466,-0.1841999999999997,0.36229999999999984,1,-3,-9,-0.07179999999999997,1.0,2.0,-1.0,13,4,0
2024/2025_Grott_Milan_7Round,2024/2025,7.0,Grottazzolina,Milano,0.4211,0.4,0.4375,0.4615,3.5654,4.094,0.47,-0.5285,0.4,0.4615,-1,-3,9,-3.0,0.3571,0.4675,0.5333,0.4423,0.5143,3.8749,3.6967,0.4809,0.1782,0.5333,0.3333,4,1,67,3.0,0.6429,-0.04640000000000005,-0.13329999999999997,-0.01090000000000002,-0.7067,-0.3094999999999999,0.39730000000000043,-4,-5,-15,0.06670000000000004,1.0,1.0,0.0,20,5,1
2024/2025_Lube_Piace_7Round,2024/2025,7.0,Lube,Piacenza,0.5,0.6667,0.4677,0.5769,4.8283,2.7107,0.5289,2.1176,0.6667,0.6,3,6,68,0.5,0.6111,0.5345,0.5333,0.4444,0.5854,3.6274,4.4137,0.4978,-0.7864,0.4667,0.5333,-4,-1,48,-1.265,0.3889,-0.034499999999999975,0.13339999999999996,0.031100000000000017,2.904,1.2008999999999994,-1.7030000000000003,7,7,4,0.13339999999999996,1.0,1.0,0.0,1,5,0
2024/2025_Mint _Padov_7Round,2024/2025,7.0,Monza,Padova,0.4935,0.4,0.3878,0.6316,3.1714,3.7348,0.5252,-0.5634,0.4,0.4667,0,-4,67,1.594,0.7222,0.4026,0.4667,0.4286,0.3871,4.1863,4.4556,0.4939,-0.2692,0.4667,0.4,-1,-2,67,-1.747,0.2778,0.09089999999999998,-0.06669999999999998,0.031299999999999994,-0.2942,-1.0149,-0.7207999999999997,-2,1,-8,0.0,2.0,1.0,1.0,21,13,1
2024/2025_Pinet_Prata_7Round,2024/2025,7.0,Pineto,Prata di Pordenone,0.4,0.4667,0.5263,0.3333,3.069,4.4226,0.4518,-1.3536,0.4,0.4,-4,-1,20,0.0,0.5,0.4286,0.5333,0.4667,0.4333,3.4476,4.1224,0.4599,-0.6748,0.4667,0.4667,0,1,25,0.0,0.5,-0.02859999999999996,-0.06659999999999999,-0.008099999999999996,-0.6788,-0.37860000000000005,0.30020000000000024,-2,-4,0,-0.06669999999999998,1.0,1.0,0.0,13,13,1
2024/2025_Trent_Veron_7Round,2024/2025,7.0,Trento,Verona,0.5455,0.5333,0.5172,0.5517,4.3567,3.7006,0.4932,0.6561,0.4667,0.5333,1,3,67,-1.566,0.3889,0.5256,0.6,0.4545,0.5325,4.5332,3.1525,0.4732,1.3806,0.4545,0.6,4,2,68,0.881,0.6111,0.01990000000000003,-0.06669999999999998,0.020000000000000018,-0.7245,-0.17649999999999988,0.5481000000000003,1,-3,-4,-0.13329999999999997,1.0,1.0,0.0,6,2,0
2024/2025_Bresc_Raven_8Round,2024/2025,8.0,Brescia,Ravenna,0.5455,0.5333,0.5588,0.5,4.5015,3.5732,0.517,0.9283,0.5333,0.5333,1,3,34,0.0,0.5,0.5517,0.6,0.4706,0.5909,4.5187,3.0881,0.5462,1.4306,0.5333,0.6,4,2,19,0.0,0.5,-0.006199999999999983,-0.06669999999999998,-0.029200000000000004,-0.5023000000000001,-0.017199999999999882,0.4851000000000001,1,-3,-3,-0.06669999999999998,2.0,1.0,1.0,6,3,0
