partido_id,temporada,jornada,fase,championship,equipo_local,equipo_visitante,resultado_final,set_num,puntos_local,puntos_visitante,ganador_set_local,set_largo
1996/1997_Las D_MTA P_2aRound,1996/1997,2a Round,2nd half,Regular Season A1,Las Daytona Modena,MTA Padova,3-0,2,15,7,1,0
1996/1997_Las D_MTA P_2aRound,1996/1997,2a Round,2nd half,Regular Season A1,Las Daytona Modena,MTA Padova,3-0,3,15,6,1,0
1996/1997_Las D_LubeB_10aRound,1996/1997,10a Round,2nd half,Regular Season A1,LubeBanca Marche,Las Daytona Modena,1-3,1,15,9,1,0
1996/1997_Las D_LubeB_10aRound,1996/1997,10a Round,2nd half,Regular Season A1,LubeBanca Marche,Las Daytona Modena,1-3,2,11,15,0,0
1996/1997_Las D_LubeB_10aRound,1996/1997,10a Round,2nd half,Regular Season A1,LubeBanca Marche,Las Daytona Modena,1-3,3,11,15,0,0
1996/1997_Las D_LubeB_10aRound,1996/1997,10a Round,2nd half,Regular Season A1,LubeBanca Marche,Las Daytona Modena,1-3,4,5,15,0,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,1st half,Regular Season A1,LubeBanca Marche,MTA Padova,3-1,1,11,15,0,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,1st half,Regular Season A1,LubeBanca Marche,MTA Padova,3-1,2,15,11,1,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,1st half,Regular Season A1,LubeBanca Marche,MTA Padova,3-1,3,16,14,1,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,1st half,Regular Season A1,LubeBanca Marche,MTA Padova,3-1,4,15,13,1,0
1996/1997_Las D_MTA P_2aRound,1996/1997,2a Round,1st half,Regular Season A1,MTA Padova,Las Daytona Modena,0-3,1,3,15,0,0
1996/1997_Las D_MTA P_2aRound,1996/1997,2a Round,1st half,Regular Season A1,MTA Padova,Las Daytona Modena,0-3,2,16,17,0,0
1996/1997_Las D_MTA P_2aRound,1996/1997,2a Round,1st half,Regular Season A1,MTA Padova,Las Daytona Modena,0-3,3,10,15,0,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,2nd half,Regular Season A1,MTA Padova,LubeBanca Marche,2-3,1,12,15,0,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,2nd half,Regular Season A1,MTA Padova,LubeBanca Marche,2-3,2,13,15,0,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,2nd half,Regular Season A1,MTA Padova,LubeBanca Marche,2-3,3,15,6,1,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,2nd half,Regular Season A1,MTA Padova,LubeBanca Marche,2-3,4,15,9,1,0
1996/1997_LubeB_MTA P_9aRound,1996/1997,9a Round,2nd half,Regular Season A1,MTA Padova,LubeBanca Marche,2-3,5,13,15,0,0
1997/1998_Casa _Jucke_6aRound,1997/1998,6a Round,2nd half,Regular Season A1,Casa Modena Unibon,Jucker Padova,3-0,1,15,9,1,0
1997/1998_Casa _Jucke_6aRound,1997/1998,6a Round,2nd half,Regular Season A1,Casa Modena Unibon,Jucker Padova,3-0,2,15,9,1,0
